stock_name,intraday_price,change,volume,market_cap
Southwestern Energy Company (SWN),3.41,+0.0200 (+0.59%),"18,941,581",2.3B
"Uber Technologies, Inc. (UBER)",54.31,-1.48 (-2.65%),"18,635,196",100.545B
"Tesla, Inc. (TSLA)",846.64,+1.65 (+0.20%),"20,066,497",802.531B
Li Auto Inc. (LI),34.44,-0.93 (-2.63%),"20,406,221",30.913B
"Tilray, Inc. (TLRY)",18.02,+0.10 (+0.56%),"20,946,019",2.603B
XPeng Inc. (XPEV),56.39,+2.08 (+3.83%),"22,003,948",40.216B
"Facebook, Inc. (FB)",274.5,+1.63 (+0.60%),"21,954,042",781.856B
Exxon Mobil Corporation (XOM),47.43,-0.68 (-1.41%),"22,047,989",200.545B
Vale S.A. (VALE),17.21,-0.26 (-1.49%),"23,194,693",88.286B
General Motors Company (GM),55.4,+0.32 (+0.58%),"23,332,153",79.295B
Wells Fargo & Company (WFC),31.9,-0.10 (-0.31%),"23,016,050",132.194B
Citigroup Inc. (C),61.33,-0.54 (-0.87%),"21,281,024",127.695B
Carnival Corporation & Plc (CCL),20.22,-0.52 (-2.51%),"24,368,884",22.323B
Energy Transfer LP (ET),6.5,-0.12 (-1.81%),"25,293,829",17.535B
Jumia Technologies AG (JMIA),56.96,+11.39 (+24.99%),"25,708,476",5.081B
Pfizer Inc. (PFE),36.55,+0.07 (+0.19%),"26,210,907",203.16B
Marathon Oil Corporation (MRO),8.15,-0.10 (-1.21%),"26,125,287",6.434B
Nokia Corporation (NOK),4.2,-0.0200 (-0.47%),"28,868,369",23.166B
Zynga Inc. (ZNGA),10.71,+0.36 (+3.48%),"29,934,120",11.556B
Microsoft Corporation (MSFT),225.95,+0.98 (+0.44%),"30,172,663",1.708T
Coty Inc. (COTY),6.33,-0.56 (-8.13%),"30,797,646",4.848B
Petróleo Brasileiro S.A. - Petrobras (PBR),10.19,-0.34 (-3.23%),"32,020,171",66.794B
Huntington Bancshares Incorporated (HBAN),13.84,-0.67 (-4.62%),"31,658,091",14.148B
fuboTV Inc. (FUBO),37.72,+2.22 (+6.25%),"33,514,439",2.548B
Ambev S.A. (ABEV),2.8,-0.1400 (-4.76%),"34,233,585",44.446B
AT&T Inc. (T),28.93,+0.10 (+0.35%),"33,353,331",206.155B
Itaú Unibanco Holding S.A. (ITUB),5.4,-0.18 (-3.23%),"35,320,934",50.397B
Banco Bradesco S.A. (BBD),4.59,-0.1900 (-3.97%),"35,204,583",38.687B
NIO Limited (NIO),61.95,+3.61 (+6.19%),"132,427,878",96.574B
Palantir Technologies Inc. (PLTR),32.58,+6.60 (+25.40%),"156,844,666",48.789B
