change,intraday_price,market_cap,stock_name,volume
-0.02 (-0.33%),5.97,25.37B,Sirius XM Holdings Inc. (SIRI),"19,289,215"
+0.0200 (+0.59%),3.4100,2.3B,Southwestern Energy Company (SWN),"18,941,581"
-1.48 (-2.65%),54.31,100.545B,"Uber Technologies, Inc. (UBER)","18,635,196"
+1.65 (+0.20%),846.64,802.531B,"Tesla, Inc. (TSLA)","20,066,497"
-0.93 (-2.63%),34.44,30.913B,Li Auto Inc. (LI),"20,406,221"
+0.10 (+0.56%),18.02,2.603B,"Tilray, Inc. (TLRY)","20,946,019"
+2.08 (+3.83%),56.39,40.216B,XPeng Inc. (XPEV),"22,003,948"
+1.63 (+0.60%),274.50,781.856B,"Facebook, Inc. (FB)","21,954,042"
-0.68 (-1.41%),47.43,200.545B,Exxon Mobil Corporation (XOM),"22,047,989"
-0.26 (-1.49%),17.21,88.286B,Vale S.A. (VALE),"23,194,693"
+0.32 (+0.58%),55.40,79.295B,General Motors Company (GM),"23,332,153"
-0.10 (-0.31%),31.90,132.194B,Wells Fargo & Company (WFC),"23,016,050"
-0.54 (-0.87%),61.33,127.695B,Citigroup Inc. (C),"21,281,024"
-0.52 (-2.51%),20.22,22.323B,Carnival Corporation & Plc (CCL),"24,368,884"
-0.12 (-1.81%),6.50,17.535B,Energy Transfer LP (ET),"25,293,829"
+11.39 (+24.99%),56.96,5.081B,Jumia Technologies AG (JMIA),"25,708,476"
+0.07 (+0.19%),36.55,203.16B,Pfizer Inc. (PFE),"26,210,907"
-0.10 (-1.21%),8.15,6.434B,Marathon Oil Corporation (MRO),"26,125,287"
-0.0200 (-0.47%),4.2000,23.166B,Nokia Corporation (NOK),"28,868,369"
+0.36 (+3.48%),10.71,11.556B,Zynga Inc. (ZNGA),"29,934,120"
+0.98 (+0.44%),225.95,1.708T,Microsoft Corporation (MSFT),"30,172,663"
-0.56 (-8.13%),6.33,4.848B,Coty Inc. (COTY),"30,797,646"
-0.34 (-3.23%),10.19,66.794B,Petróleo Brasileiro S.A. - Petrobras (PBR),"32,020,171"
-0.67 (-4.62%),13.84,14.148B,Huntington Bancshares Incorporated (HBAN),"31,658,091"
+2.22 (+6.25%),37.72,2.548B,fuboTV Inc. (FUBO),"33,514,439"
-0.1400 (-4.76%),2.8000,44.446B,Ambev S.A. (ABEV),"34,233,585"
+0.10 (+0.35%),28.93,206.155B,AT&T Inc. (T),"33,353,331"
-0.18 (-3.23%),5.40,50.397B,Itaú Unibanco Holding S.A. (ITUB),"35,320,934"
-0.1900 (-3.97%),4.5900,38.687B,Banco Bradesco S.A. (BBD),"35,204,583"
+3.61 (+6.19%),61.95,96.574B,NIO Limited (NIO),"132,427,878"
+6.60 (+25.40%),32.58,48.789B,Palantir Technologies Inc. (PLTR),"156,844,666"
